trial,elapsed_s,rmse,learning_rate,num_leaves,max_depth,min_child_samples,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2
1,2.49,680.4586039133177,0.0012575916906700962,245,8,8,0.6451860038791015,0.5974022824980874,5,1.894580142815477,2.027607040837037
2,2.62,634.6984322394576,0.14402999830398808,216,7,91,0.5627686825644391,0.5354352750787195,4,3.388178964661116,0.06829734054358758
3,2.77,499.0678834547515,0.09432482855123937,197,3,37,0.7590907400594824,0.624294552068024,5,0.00020556329666911643,0.007487074015293017
4,3.74,633.3870000087356,0.00144917777700849,73,4,46,0.9875669755807215,0.6262869687812498,6,0.0029996215947346878,0.20412230914416618
5,4.48,560.3084011831544,0.01020456767643235,63,6,87,0.516803388685147,0.894040490383218,3,0.000855173209757241,0.00012357931488287644
6,5.59,524.506575236325,0.004984197285262689,164,11,58,0.8208825623897309,0.9080195016242933,2,0.5756967601589462,0.024987524663953903
7,6.02,500.071166665905,0.027947125436838523,181,10,25,0.7411293197602362,0.7293591607251247,1,0.0070256067428340445,0.0017146776899326704
8,7.29,557.8096364133391,0.002446814192381734,99,8,52,0.9219334838345246,0.7564485406928789,1,0.090013065021611,0.013765760296376111
9,7.54,520.9829157253463,0.1972466175446823,48,5,66,0.5475104514290833,0.8408275364318317,2,1.222650679771626,0.00027007782016995937
10,7.9,539.7238526580641,0.12382534549430356,93,10,56,0.6021034991248763,0.5540407178523653,6,0.014177748395813003,0.001787719028912083
11,8.35,504.29534712893735,0.04194659195294122,41,10,30,0.9387183447341647,0.9672973799423173,5,0.035980511033458,0.0004764801418210563
12,9.2,634.5409253742873,0.0018927657266108171,123,7,98,0.7212305852623544,0.9914403223075086,6,0.10554038933864678,1.2357452528023554
13,9.81,518.7748215631215,0.014045961889173049,172,4,78,0.7973011638794278,0.7907784656499315,0,0.00422337138689764,7.838373812349979
14,9.98,513.824432020406,0.2595771706419311,134,9,40,0.6506078991607863,0.9411368073976791,0,0.03055727664995566,0.97382774617931
15,12.23,500.4752597979435,0.004061961027548807,235,8,14,0.9607046037079329,0.6991663704760918,4,9.188663847831553,0.0006662116501784703
16,12.8,502.1676725117339,0.034195538028880375,117,12,20,0.6889200315614588,0.7234038693540195,3,0.00013884021979501996,3.3442144835511884
17,13.36,545.3538195105085,0.008773337021751754,230,4,83,0.8719343267981989,0.6685192154438551,7,0.00047382832732280935,0.038893120378336254
18,13.75,618.3230884548409,0.01883318433673134,154,11,71,0.8978310138139118,0.5127835599715235,7,0.2815618400628794,0.4597174432663903
19,13.96,501.8556056902531,0.06621063177467407,18,6,16,0.8343895738159985,0.8023495484960217,3,0.32283868410429595,0.13073729786397223
